emp_id,first_name,last_name,age,birth_date,join_date,salary,manager,department
D1,Qrw,Rzvu,41,1982-01-02,2020-01-23,54284,Rcexc,Legal
E2,Zypw,Hcwygs,34,1989-01-06,2020-08-12,32521,Akrty,It
N3,Mukv,Glvh,57,1966-11-08,1988-01-28,54238,Vzinqy,It
P4,Jvc,Dbgi,41,1982-12-23,2020-06-08,35146,Cqj,Customer Service
P5,Smcb,Qdqu,34,1989-02-25,2021-11-05,95848,Bwl,It
D6,Qriz,Vsq,41,1982-08-15,2018-02-23,20783,Xoxjr,Operations
Q7,Ecybw,Wkg,57,1966-04-04,1993-07-31,38120,Msd,Operations
E8,Myw,Ifri,34,1989-03-07,2018-06-05,53488,Gfrmi,Legal
M9,Flajod,Yzei,48,1975-01-03,2002-05-03,86002,Jfanmz,It
G10,Dxe,Kzbl,26,1997-05-21,2019-08-03,11576,Vuzurr,Legal
U11,Oki,Lhq,32,1991-11-21,2018-04-18,83443,Xgfou,Sales
N12,Bkkip,Frwa,24,1999-03-05,2020-04-08,58816,Oztxj,Product Management
Y13,Rodgrt,Cufsgc,51,1972-11-09,2005-09-13,64315,Qmgh,Sales
Y14,Rll,Aivre,50,1973-06-28,2003-12-27,39410,Alj,Legal
R15,Nct,Qnibj,28,1995-01-31,2023-03-19,90827,Ydhq,Legal
E16,Lcpz,Pluc,32,1991-04-05,2023-02-17,55941,Oule,Research And Development
U17,Sjuwne,Hpr,47,1976-08-13,2009-05-26,28791,Vwhric,Human Resources
F18,Fatyr,Vrnrh,26,1997-07-28,2023-02-24,85049,Qwbj,Product Management
X19,Dlg,Mnfk,36,1987-03-16,2016-04-06,54766,Xqukbu,Legal
R20,Odmg,Wam,50,1973-05-28,1995-01-04,94247,Kalby,Research And Development
S21,Yinwvc,Igu,52,1971-06-08,2022-03-01,35358,Ieazrd,Customer Service
O22,Ujr,Plio,52,1971-01-12,1993-09-02,69507,Zmdh,Legal
X23,Tizinx,Glsbqa,52,1971-08-03,2009-12-16,72318,Mptu,Research And Development
O24,Mis,Yhnt,48,1975-01-09,2009-06-10,94586,Qckvac,It
U25,Crlck,Udkvlk,41,1982-08-12,2011-12-03,82113,Zuc,Product Management
U26,Arlvhl,Mdvi,41,1982-05-09,2016-03-18,67835,Wzc,Sales
D27,Dylxwx,Kttq,40,1983-01-03,2010-12-08,14312,Zau,It
W28,Bhfetm,Nqzy,38,1985-05-06,2014-03-01,14143,Pgjx,It
N29,Tygh,Iel,31,1992-03-24,2018-04-28,41733,Czvvj,Customer Service
J30,Dryat,Cxij,21,2002-11-26,2023-05-15,49789,Yceeb,Sales
